title	name	menu_1	menu_2	menu_3	menu_4	menu_5	meaning	description	EXPORT_GISAID	EXPORT_CNPHI	EXPORT_NML_LIMS	EXPORT_BIOSAMPLE	EXPORT_VirusSeq_Portal	
		Japan					GAZ:00002747							
		Jarvis Island					GAZ:00007118							
		Jersey					GAZ:00001551							
		Johnston Atoll					GAZ:00007114							
		Jordan					GAZ:00002473							
		Juan de Nova Island					GAZ:00005809							
		Kazakhstan					GAZ:00004999							
		Kenya					GAZ:00001101							
		Kerguelen Archipelago					GAZ:00005682							
		Kingman Reef					GAZ:00007116							
		Kiribati					GAZ:00006894							
		Kosovo					GAZ:00011337							
		Kuwait					GAZ:00005285							
		Kyrgyzstan					GAZ:00006893							
		Laos					GAZ:00006889							
		Latvia					GAZ:00002958							
		Lebanon					GAZ:00002478							
		Lesotho					GAZ:00001098							
		Liberia					GAZ:00000911							
		Libya					GAZ:00000566							
		Liechtenstein					GAZ:00003858							
		Line Islands					GAZ:00007144							
		Lithuania					GAZ:00002960							
		Luxembourg					GAZ:00002947							
		Macau					GAZ:00003202							
		Madagascar					GAZ:00001108							
		Malawi					GAZ:00001105							
		Malaysia					GAZ:00003902							
		Maldives					GAZ:00006924							
		Mali					GAZ:00000584							
		Malta					GAZ:00004017							
		Marshall Islands					GAZ:00007161							
		Martinique					GAZ:00067143							
		Mauritania					GAZ:00000583							
		Mauritius					GAZ:00003745							
		Mayotte					GAZ:00003943							
		Mexico					GAZ:00002852							
		Micronesia					GAZ:00005862							
		Midway Islands					GAZ:00007112							
		Moldova					GAZ:00003897							
		Monaco					GAZ:00003857							
		Mongolia					GAZ:00008744							
		Montenegro					GAZ:00006898							
		Montserrat					GAZ:00003988							
		Morocco					GAZ:00000565							
		Mozambique					GAZ:00001100							
		Myanmar					GAZ:00006899							
		Namibia					GAZ:00001096							
		Nauru					GAZ:00006900							
		Navassa Island					GAZ:00007119							
		Nepal					GAZ:00004399							
		Netherlands					GAZ:00002946							
		New Caledonia					GAZ:00005206							
		New Zealand					GAZ:00000469							
		Nicaragua					GAZ:00002978							
		Niger					GAZ:00000585							
		Nigeria					GAZ:00000912							
		Niue					GAZ:00006902							
		Norfolk Island					GAZ:00005908							
		North Korea					GAZ:00002801							
		North Macedonia					GAZ:00006895							
		North Sea					GAZ:00002284							
		Northern Mariana Islands					GAZ:00003958							
		Norway					GAZ:00002699							
		Oman					GAZ:00005283							
		Pakistan					GAZ:00005246							
		Palau					GAZ:00006905							
		Panama					GAZ:00002892							
		Papua New Guinea					GAZ:00003922							
		Paracel Islands					GAZ:00010832							
		Paraguay					GAZ:00002933							
		Peru					GAZ:00002932							
		Philippines					GAZ:00004525							
		Pitcairn Islands					GAZ:00005867							
		Poland					GAZ:00002939							
		Portugal					GAZ:00004126							
		Puerto Rico					GAZ:00006935							
		Qatar					GAZ:00005286							
		Republic of the Congo					GAZ:00001088							
		Reunion					GAZ:00003945							
		Romania					GAZ:00002951							
		Ross Sea					GAZ:00023304							
		Russia					GAZ:00002721							
		Rwanda					GAZ:00001087							
		Saint Helena					GAZ:00000849							
		Saint Kitts and Nevis					GAZ:00006906							
		Saint Lucia					GAZ:00006909							
		Saint Pierre and Miquelon					GAZ:00003942							
		Saint Martin					GAZ:00005841							
		Saint Vincent and the Grenadines					GAZ:02000565							
		Samoa					GAZ:00006910							
		San Marino					GAZ:00003102							
		Sao Tome and Principe					GAZ:00006927							
		Saudi Arabia					GAZ:00005279							
		Senegal					GAZ:00000913							
		Serbia					GAZ:00002957							
		Seychelles					GAZ:00006922							
		Sierra Leone					GAZ:00000914							
		Singapore					GAZ:00003923							
		Sint Maarten					GAZ:00012579							
		Slovakia					GAZ:00002956							
		Slovenia					GAZ:00002955							
		Solomon Islands					GAZ:00005275							
		Somalia					GAZ:00001104							
		South Africa					GAZ:00001094							
		South Georgia and the South Sandwich Islands					GAZ:00003990							
		South Korea					GAZ:00002802							
		South Sudan					GAZ:00233439							
		Spain					GAZ:00000591							
		Spratly Islands					GAZ:00010831							
		Sri Lanka					GAZ:00003924							
		State of Palestine					GAZ:00002475							
		Sudan					GAZ:00000560							
		Suriname					GAZ:00002525							
		Svalbard					GAZ:00005396							
		Swaziland					GAZ:00001099							
		Sweden					GAZ:00002729							
		Switzerland					GAZ:00002941							
		Syria					GAZ:00002474							
		Taiwan					GAZ:00005341							
		Tajikistan					GAZ:00006912							
		Tanzania					GAZ:00001103							
		Thailand					GAZ:00003744							
		Timor-Leste					GAZ:00006913							
		Togo					GAZ:00000915							
		Tokelau					GAZ:00260188							
		Tonga					GAZ:00006916							
		Trinidad and Tobago					GAZ:00003767							
		Tromelin Island					GAZ:00005812							
		Tunisia					GAZ:00000562							
		Turkey					GAZ:00000558							
		Turkmenistan					GAZ:00005018							
		Turks and Caicos Islands					GAZ:00003955							
		Tuvalu					GAZ:00009715							
		United States of America					GAZ:00002459							
		Uganda					GAZ:00001102							
		Ukraine					GAZ:00002724							
		United Arab Emirates					GAZ:00005282							
		United Kingdom					GAZ:00002637							
		Uruguay					GAZ:00002930							
		Uzbekistan					GAZ:00004979							
		Vanuatu					GAZ:00006918							
		Venezuela					GAZ:00002931							
		Viet Nam					GAZ:00003756							
		Virgin Islands					GAZ:00003959							
		Wake Island					GAZ:00007111							
		Wallis and Futuna					GAZ:00007191							
		West Bank					GAZ:00009572							
		Western Sahara					GAZ:00000564							
		Yemen					GAZ:00005284							
		Zambia					GAZ:00001107							
		Zimbabwe					GAZ:00001106							
